,Date,High,Low,Open,Close
0,2016-07-15,680.94,655.72,664.2,670.38
1,2016-07-18,673.24,657.82,670.38,664.62
2,2016-07-21,669.44,645.69,664.62,659.29
3,2016-07-24,662.51,643.49,659.29,654.54
4,2016-07-27,657.96,650.81,654.54,654.74
5,2016-07-30,654.92,471.36,654.74,513.43
6,2016-08-02,584.89,514.09,513.43,574.66
7,2016-08-05,596.68,565.33,574.66,589.24
8,2016-08-08,600.52,580.87,589.24,587.84
9,2016-08-11,591.14,559.93,587.84,569.06
10,2016-08-14,583.38,559.28,569.06,572.34
11,2016-08-17,583.5,566.25,572.34,582.61
12,2016-08-20,591.9,577.13,582.61,583.56
13,2016-08-23,584.47,570.81,583.56,579.37
14,2016-08-26,580.41,567.25,579.37,574.23
15,2016-08-29,704.97,569.37,574.23,571.99
16,2016-09-01,615.2,569.3,571.99,609.55
17,2016-09-04,616.48,598.77,609.55,613.21
18,2016-09-07,629.3,611.25,613.21,624.52
19,2016-09-10,630.77,592.79,624.52,608.61
20,2016-09-13,612.16,605.1,608.61,607.78
21,2016-09-16,612.41,604.52,607.78,609.85
22,2016-09-19,611.27,591.69,609.85,595.63
23,2016-09-22,605.92,594.11,595.63,601.49
24,2016-09-25,608.97,598.17,601.49,604.67
25,2016-09-28,615,602.01,604.67,613.41
26,2016-10-01,614.21,606.5,613.41,608.96
27,2016-10-04,619.43,607.98,608.96,616.03
28,2016-10-07,619.56,612.76,616.03,617.29
29,2016-10-10,642.51,615.6,617.29,635.6
30,2016-10-13,642.18,630.66,635.6,640.12
31,2016-10-16,641.29,624.09,640.12,629.06
32,2016-10-19,659.89,625.48,629.06,655.48
33,2016-10-22,662.54,645.68,655.48,651
34,2016-10-25,688.43,651.39,651,686.24
35,2016-10-28,720.19,682.17,686.24,698.67
36,2016-10-31,744.43,670.4,698.67,684.87
37,2016-11-03,714.13,681.27,684.87,709.91
38,2016-11-06,741.23,698.35,709.91,721.42
39,2016-11-09,723.02,701.08,721.42,704.27
